pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,total_combos,exempted_combo_count,missing_combo_count,missing_combos,dk_app_daily_spend_exempted,exempted_combo_network_daily,missing_combo_network_daily,dk_combo_network_daily_total,penetration_rate,est_uplift_missed_daily
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Goods Sorting: Match 3 Puzzle iOS PM_1945,661898f2c0c070078a977fb4,6482849843,6385.6497,10,2,8,"Combo3,Combo4,Combo5,Combo6,Combo7,Combo8,Combo9,Combo10",0.0,22824.9941,19801.6378,42626.6319,0.0,0.0
X-FLOW LTD,5b1526a7de961d3317b1d475,EMEA,Kseniia Fesenko,Happy Color Android - Paint by Number,5a777f42d76bfe102f007091,com.pixel.art.coloring.color.number,7674.6411,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
INJOY TECHNOLOGY PTE.LTD.,5f687c6436ca1e0016d5fd6d,APAC,Seven Tu,Shareit Android,64f7008818744ab0e0841919,com.lenovo.anyshare.gps,6390.6848,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Hidden Spots,6672d811429c14443ac5fb6d,com.easybrain.hidden.spots,1078.6017,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Skip-Bo Android,60891d3bc6ed3ae6ebd0cf3a,com.mattel163.skipbo,963.685,10,4,6,"Combo3,Combo4,Combo6,Combo7,Combo9,Combo10",0.0,27469.0506,15157.5813,42626.6319,0.0,0.0
Gravity Labs,677cecb33b9ea20011273987,APAC,Ives Cui,moneywalk_AOS,677e35a5d7a0b145879b00a7,com.tracerofficial,2237.4241,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram Android,5d406c47cf18f200178643cf,com.easybrain.nonogram,1897.2346,10,4,6,"Combo3,Combo4,Combo6,Combo7,Combo9,Combo10",0.0,27469.0506,15157.5813,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire – Classic Card Game,59c0bfe44b342c7f280015fe,1190849728,1907.0377,10,8,2,"Combo4,Combo7",0.0,37570.8181,5055.8138,42626.6319,0.0,0.0
SYBO Games,5c52bd6ffbeb402419bef87d,EMEA,Louis Wallworth,Subway Surfers (Non-COPPA),5e4e66ea60ce6a001791d156,512939461,4182.4116,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Jigsawcard iOS,69154b0b1de7be35146a52bd,6754900673,2000.8595,10,2,8,"Combo3,Combo4,Combo5,Combo6,Combo7,Combo8,Combo9,Combo10",0.0,22824.9941,19801.6378,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art: Create by Number,5b61c1d3a5eacf3ee67a792c,com.europosit.pixelcoloring,2173.309,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
