pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,level,block_type,block_value,adv_title,network_share,adv_daily_spend,est_uplift_daily
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,896354843,Лемана ПРО: товары для дома,0.00039972,1784.9846,33.4823
Audiomack Inc.,5f73ab8ec84db80016b354bb,Americas,Lisa Tolentino,,,,11688.983,account,domain,kalshi.com,,0.00285915,12767.9101,33.4206
Audiomack Inc.,5f73ab8ec84db80016b354bb,Americas,Lisa Tolentino,,,,11688.983,account,market id,1632713844,Kalshi: Trade Events & Sports,0.00285912,12767.7779,33.4202
Wattpad,56b2844d24342c3622000032,Americas,Matthew Hong,,,,7071.1224,account,domain,aliexpress.com,,0.0047205,21080.0194,33.3792
Rollic Games,5bec0018c9af0a7962a96f4a,EMEA,Dina Eraksan,,,,5962.8382,account,market id,519817714,Intuit Credit Karma,0.0055922,24972.6926,33.3454
"Shanghai Linguan Data Co., Ltd.",5d3a5de9ddc71000189c7a84,APAC,Seven Tu,,,,22605.3511,account,domain,mobilityware.com,,0.00147311,6578.3744,33.3002
The Weather Company,685efaf2892f9d0011d7b87f,Americas,Lisa Tolentino,,,,31265.5923,account,market id,1574436604,SUGO-Online Chat Party,0.00106308,4747.3037,33.2377
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,market id,com.productmadness.hovmobile,Slots: Heart of Vegas Casino,0.00033233,1484.0428,33.2121
MOOVIT APP GLOBAL LTD,61c991a5fe4ec600172e5e08,EMEA,Beth Taylor-Lowen,,,,4616.6726,account,domain,global.e.mi.com,,0.00717646,32047.4217,33.1314
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,com.plarium.raidlegends,RAID: Shadow Legends,0.00034187,1526.6875,33.1161
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,domain,easybrain.com,,0.0003309,1477.6803,33.0697
OfferUp,650360eb0950ee00114dc484,Americas,Kasey Geist,,,,42039.6321,account,market id,com.productmadness.cashmancasino,Cashman Casino Slots Games,0.00078637,3511.6488,33.0588
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,facebook.com,,0.00061483,2745.5979,33.0171
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,amazon.fr,,0.00039416,1760.1551,33.0165
