domain,rtb_account_id,country,network_spend_7d,network_daily_spend,route_key
temu.com,618a29d9ef3f360017e9acca,FR,21937.05519575223,3133.865,"('temu.com', '618a29d9ef3f360017e9acca', 'FR')"
xm.com,5f6413c9612b1a0015099993,IN,21920.481954134924,3131.4974,"('xm.com', '5f6413c9612b1a0015099993', 'IN')"
mercadolivre.com.br,645a4ac71263430014fc0a33,BR,21857.400349633852,3122.4858,"('mercadolivre.com.br', '645a4ac71263430014fc0a33', 'BR')"
temu.com,67055dc40f05bd0011e279ae,NG,21807.294456483363,3115.3278,"('temu.com', '67055dc40f05bd0011e279ae', 'NG')"
snowprintstudios.com,5f6413c9612b1a0015099993,US,21723.9243586081,3103.4178,"('snowprintstudios.com', '5f6413c9612b1a0015099993', 'US')"
mercadolibre.com,5f6413c9612b1a0015099993,AR,21460.177244268332,3065.7396,"('mercadolibre.com', '5f6413c9612b1a0015099993', 'AR')"
fanaticsinc.com,5f6413c9612b1a0015099993,US,21111.58159673625,3015.9402,"('fanaticsinc.com', '5f6413c9612b1a0015099993', 'US')"
centurygame.com,5f6413c9612b1a0015099993,JP,21103.57607610707,3014.7966,"('centurygame.com', '5f6413c9612b1a0015099993', 'JP')"
lessmore.games,5f6413c9612b1a0015099993,RU,20915.033943923117,2987.862,"('lessmore.games', '5f6413c9612b1a0015099993', 'RU')"
playojo.com,5f6413c9612b1a0015099993,CA,20790.8725601592,2970.1247,"('playojo.com', '5f6413c9612b1a0015099993', 'CA')"
triumpharcade.com,60770b778d0e4a0015f20ea9,US,20786.059515119974,2969.4371,"('triumpharcade.com', '60770b778d0e4a0015f20ea9', 'US')"
tiktok.com,5f6413c9612b1a0015099993,MX,20777.810179355336,2968.2586,"('tiktok.com', '5f6413c9612b1a0015099993', 'MX')"
tiktok.com,5f6413c9612b1a0015099993,ID,20774.777058717475,2967.8253,"('tiktok.com', '5f6413c9612b1a0015099993', 'ID')"
lessmore.games,5f6413c9612b1a0015099993,GB,20524.592208203245,2932.0846,"('lessmore.games', '5f6413c9612b1a0015099993', 'GB')"
rotatelab.com,5f6413c9612b1a0015099993,US,20508.063963820357,2929.7234,"('rotatelab.com', '5f6413c9612b1a0015099993', 'US')"
uber.com,561e8d936b8d90f61a000d2f,US,20507.662993282705,2929.6661,"('uber.com', '561e8d936b8d90f61a000d2f', 'US')"
shopee.co.id,5e89fcef428f870016d9e994,ID,20484.146090029888,2926.3066,"('shopee.co.id', '5e89fcef428f870016d9e994', 'ID')"
cyphergames.com,5f6413c9612b1a0015099993,US,20464.023415668235,2923.4319,"('cyphergames.com', '5f6413c9612b1a0015099993', 'US')"
experian.com,5f6413c9612b1a0015099993,US,20452.342656404035,2921.7632,"('experian.com', '5f6413c9612b1a0015099993', 'US')"
gu55.us,65b7e5c3d5f847001169024b,BR,20413.316426144767,2916.1881,"('gu55.us', '65b7e5c3d5f847001169024b', 'BR')"
temu.com,67055dc40f05bd0011e279ae,AR,20348.946256838397,2906.9923,"('temu.com', '67055dc40f05bd0011e279ae', 'AR')"
saalt.com,5f6413c9612b1a0015099993,US,20226.04777622041,2889.4354,"('saalt.com', '5f6413c9612b1a0015099993', 'US')"
fonbet.ru,5f6413c9612b1a0015099993,RU,20210.164448753552,2887.1663,"('fonbet.ru', '5f6413c9612b1a0015099993', 'RU')"
jet2holidays.com,5fffe796e4fa2100156e364a,GB,20203.440898458848,2886.2058,"('jet2holidays.com', '5fffe796e4fa2100156e364a', 'GB')"
coppel.com,645a4ac71263430014fc0a33,MX,20173.331301145805,2881.9045,"('coppel.com', '645a4ac71263430014fc0a33', 'MX')"
lessmore.games,5f6413c9612b1a0015099993,DE,20125.90767252174,2875.1297,"('lessmore.games', '5f6413c9612b1a0015099993', 'DE')"
candycrushsodasaga.com,5f6413c9612b1a0015099993,US,20108.183413199273,2872.5976,"('candycrushsodasaga.com', '5f6413c9612b1a0015099993', 'US')"
